﻿# Eingänge: WEG Niedbachstraße 1;;;;;
﻿Objektnummer;Eingang;Flächennummer;Bez. Einheit;Einheit Typ;Lage
﻿100001;;100001;Wohnung 5;100;EG rechts
﻿100001;;100002;Wohnung 4;100;EG mitte rechts
﻿100001;;100003;Wohnung 3;100;EG mitte
﻿100001;;100004;Wohnung 2;100;EG mitte links
﻿100001;;100005;Wohnung 1;100;Eg links
﻿100001;;100201;Wohnung 10;100;2. OG
﻿100001;;109901;Wohnung 8;100;Souterrain rechts
﻿100001;;109902;Wohnung 7;100;Souterrain mitte
﻿100001;;109903;Wohnung 6;100;Souterrain links
﻿100001;;100101;Wohnung 9;100;1. OG
