# Einheit-Typ: 100=Wohnung | 200=Gewerbe | 300=Stellplatz | 400=Sonstiges;;;;;
Objektnummer;Eingang;Flächennummer;Bez. Einheit;Einheit-Typ;Lage
10005;Wingertstraße 29;100001;WE 1-A 0.1;100;
10005;Wingertstraße 29;100002;WE 2-A 0.2;100;
10005;Wingertstraße 29;100003;WE 3-A 0.3;100;
10005;Wingertstraße 29;100101;WE 4-A 1.1;100;
10005;Wingertstraße 29;100102;WE 5-A 1.2;100;
10005;Wingertstraße 29;100103;WE 6-A 1.3;100;
10005;Wingertstraße 29;100104;WE 7-A 1.4;100;
10005;Wingertstraße 29;100105;WE 8-A 1.5;100;
10005;Wingertstraße 29;100201;WE 9-A 2.1;100;
10005;Wingertstraße 29;100202;WE 10-A 2.2;100;
10005;Wingertstraße 29;100203;WE 11-A 2.3;100;
10005;Wingertstraße 29;100204;WE 12-A 2.4;100;
10005;Wingertstraße 29;100205;WE 13-A 2.5;100;
10005;Wingertstraße 29;100301;WE 14-A 3.1;100;
10005;Wingertstraße 29;100302;WE 15-A 3.2;100;
10005;Wingertstraße 29;100303;WE 16-A 3.3;100;
10005;Wingertstraße 29;100304;WE 17-A 3.4;100;
10005;Wingertstraße 29;100401;WE 18-A 4.1;100;
10005;Wingertstraße 29;100402;WE 19-A 4.2;100;
10005;Wingertstraße 29;100403;WE 20-A 4.3;100;
10005;Wingertstraße 29;100404;WE 21-A 4.4;100;
10005;Wingertstraße 29;100501;WE 22-A 5.1;100;
10005;Wingertstraße 29;100502;WE 23-A 5.2;100;
10005;Wittelsbacherallee 35a;110001;WE 24-B 0.1;100;
10005;Wittelsbacherallee 35a;110002;WE 48-Gewerbe;100;
10005;Wittelsbacherallee 35a;110101;WE 25-B 1.1;100;
10005;Wittelsbacherallee 35a;110102;WE 26-B 1.2;100;
10005;Wittelsbacherallee 35a;110103;WE 27-B 1.3;100;
10005;Wittelsbacherallee 35a;110201;WE 28-B 2.1;100;
10005;Wittelsbacherallee 35a;110202;WE 29-B 2.2;100;
10005;Wittelsbacherallee 35a;110301;WE 30-B 3.1;100;
10005;Wittelsbacherallee 35a;110302;WE 31-B 3.2;100;
10005;Wittelsbacherallee 35a;110303;WE 32-B 3.3;100;
10005;Wittelsbacherallee 35a;110401;WE 33-B 4.1;100;
10005;Wittelsbacherallee 35a;110402;WE 34-B 4.2;100;
10005;Wittelsbacherallee 35a;110501;WE 35-B 5.1;100;
10005;Wittelsbacherallee 35a;110502;WE 36-B 5.2;100;
10005;Wittelsbacherallee 35a;110503;WE 37-B 5.3;100;
10005;Wittelsbacherallee 35a;110601;WE 38-B 6.1;100;
10005;Wingertstraße 31;120001;WE 39-C 0.1;100;
10005;Wingertstraße 31;120002;WE 40-C 0.2;100;
10005;Wingertstraße 31;120101;WE 41-C 1.1;100;
10005;Wingertstraße 31;120102;WE 42-C 1.2;100;
10005;Wingertstraße 31;120201;WE 43-C 2.1;100;
10005;Wingertstraße 31;120202;WE 44-C 2.2;100;
10005;Wingertstraße 31;120301;WE 45-C 3.1;100;
10005;Wingertstraße 31;120302;WE 46-C 3.2;100;
10005;Wingertstraße 31;120401;WE 47-C 4.1;100;
